timestamp,id,topic,method,norm_pos,diameter,confidence,sphere,projected_sphere,circle_3d,diameter_3d,ellipse,location,model_confidence,theta,phi
774705.829023,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2166663907477524, 0.705995327658735]",45.96474399871017,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.609471682572316, -3.015437620492855, 22.67160176067465], 'normal': [-0.5653443788247047, -0.22171971414097175, -0.7944973893554053], 'radius': 1.5401137819353168}",3.0802275638706336,"{'center': [41.59994702356846, 56.448897089522895], 'axes': [34.390234681883776, 45.96474399871017], 'angle': 23.713582711086445}","[41.59994702356846, 56.448897089522895]",1.0,1.794374054345942,-2.1892484936550742
774705.845816,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21669900889314897, 0.706156687185607]",45.660404135933945,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.573176924836567, -3.0131071090102672, 22.654072569110575], 'normal': [-0.5630795987544234, -0.2211147508527361, -0.7962723355874485], 'radius': 1.5302728079407464}",3.0605456158814928,"{'center': [41.6062097074846, 56.41791606036346], 'axes': [34.23580051132539, 45.660404135933945], 'angle': 23.747548239420183}","[41.6062097074846, 56.41791606036346]",1.0,1.793753693165697,-2.1863011776635406
774705.8644,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2169506252494795, 0.7060029683657201]",45.50337186504439,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.544878427385788, -3.001567604955552, 22.630945817003948], 'normal': [-0.5603565745676119, -0.22000436155735198, -0.7984977083464888], 'radius': 1.5258539551894232}",3.0517079103788465,"{'center': [41.654520047900064, 56.44743007378176], 'axes': [34.2115383159072, 45.50337186504439], 'angle': 23.750542591067997}","[41.654520047900064, 56.44743007378176]",1.0,1.792615268393817,-2.1827048914353377
774705.881066,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21712484086676576, 0.7059391838303654]",45.51803009075466,0.9894005060195923,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.533734890158187, -2.9902954804885162, 22.620042262647353], 'normal': [-0.5592842871979319, -0.21891970087478832, -0.7995469033536396], 'radius': 1.5264568293179226}",3.052913658635845,"{'center': [41.687969446419025, 56.45967670456985], 'axes': [34.26855639474435, 45.51803009075466], 'angle': 23.71041841573485}","[41.687969446419025, 56.45967670456985]",1.0,1.7915035039887548,-2.181187673405503
774705.898509,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21697531713067938, 0.7062004289106565]",45.36601234411778,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.543347484011134, -2.997644015964533, 22.62879176673777], 'normal': [-0.5602092594727002, -0.21962681403065965, -0.7987049819299934], 'radius': 1.521292562118932}",3.042585124237864,"{'center': [41.65926088909044, 56.40951764915397], 'axes': [34.116865094263474, 45.36601234411778], 'angle': 23.735388222732652}","[41.65926088909044, 56.40951764915397]",1.0,1.7922282550772155,-2.182459244136964
774705.916961,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2167954352375001, 0.7068799825206713]",45.15340056801006,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.541427441550192, -2.9930648579826684, 22.626187777749294], 'normal': [-0.5600245033007534, -0.2191861843484111, -0.7989555508872372], 'radius': 1.5144022899034164}",3.028804579806833,"{'center': [41.62472356560002, 56.2790433560311], 'axes': [33.96173781361553, 45.15340056801006], 'angle': 23.727768136330184}","[41.62472356560002, 56.2790433560311]",1.0,1.7917766206548023,-2.1821567453376485
774705.932818,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2170908859270493, 0.7067659260276955]",44.72327483948339,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.519535976238812, -2.990103676639457, 22.610075695048273], 'normal': [-0.5579179960690066, -0.21890124454080734, -0.8005059367680102], 'radius': 1.5000809025147355}",3.000161805029471,"{'center': [41.68145009799347, 56.30094220268246], 'axes': [33.70726301881719, 44.72327483948339], 'angle': 23.775256142130203}","[41.68145009799347, 56.30094220268246]",1.0,1.7914845888675384,-2.1794769032744545
774705.949067,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21730639760866244, 0.7069704284482938]",44.65950485137494,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.502252947022683, -2.989371672368411, 22.597856960613804], 'normal': [-0.5562549358072826, -0.2188308073969846, -0.8016816850371598], 'radius': 1.4981094123225895}",2.996218824645179,"{'center': [41.72282834086319, 56.26167773792757], 'axes': [33.70753948937066, 44.65950485137494], 'angle': 23.831888339203402}","[41.72282834086319, 56.26167773792757]",1.0,1.791412401536025,-2.1773896571287903
774705.964238,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21691648659232535, 0.7069210576105154]",44.50837823872373,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.50010975341509, -2.978650857173406, 22.593451817965185], 'normal': [-0.5560487069062376, -0.21779919647385657, -0.8021055700861597], 'radius': 1.4932970255340874}",2.9865940510681748,"{'center': [41.64796542572647, 56.27115693878105], 'axes': [33.607378174057686, 44.50837823872373], 'angle': 23.75938984156656}","[41.64796542572647, 56.27115693878105]",1.0,1.7903552913181777,-2.1769684642509333
774705.9797639999,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2171611246891916, 0.7069545087766257]",44.405789749192394,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.481697043984179, -2.95797855981138, 22.575140302862742], 'normal': [-0.5542769431151632, -0.21581000373273432, -0.8038675964484371], 'radius': 1.4900696082334095}",2.980139216466819,"{'center': [41.69493594032479, 56.26473431488787], 'axes': [33.60493401349032, 44.405789749192394], 'angle': 23.682323897756277}","[41.69493594032479, 56.26473431488787]",1.0,1.7883176325080592,-2.174449125287387
774705.996837,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21711560530753546, 0.706398986763024]",44.45089215337054,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.473504385641222, -2.9399585723581403, 22.564683628025044], 'normal': [-0.5534886041985492, -0.2140760296315807, -0.8048737904538328], 'radius': 1.4917058753882475}",2.983411750776495,"{'center': [41.686196219046806, 56.37139454149938], 'axes': [33.68336779205006, 44.45089215337054], 'angle': 23.56960047609708}","[41.686196219046806, 56.37139454149938]",1.0,1.7865421592854691,-2.173199982686825
774706.010186,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2170431773349357, 0.7066043613104243]",44.397359115379246,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.469174854071995, -2.9475614650981434, 22.563733140036003], 'normal': [-0.5530719948290561, -0.2148076183265908, -0.8049652512032219], 'radius': 1.4900080238360096}",2.980016047672019,"{'center': [41.67229004830765, 56.331962628398536], 'axes': [33.64363074750098, 44.397359115379246], 'angle': 23.63821373277011}","[41.67229004830765, 56.331962628398536]",1.0,1.7872911724713385,-2.1727954391162845
774706.022773,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21706733343312593, 0.7065394931693307]",44.44383467367249,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.467119394393348, -2.94972211652287, 22.56289803397036], 'normal': [-0.5528742081292601, -0.21501552710687263, -0.8050456093218554], 'radius': 1.4915691692483881}",2.9831383384967762,"{'center': [41.67692801916018, 56.344417311488485], 'axes': [33.682246033446546, 44.44383467367249], 'angle': 23.65729419513761}","[41.67692801916018, 56.344417311488485]",1.0,1.7875040555828328,-2.172581922162605
774706.040657,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21681017102807446, 0.7065391104558354]",44.45146068515602,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.463327997508489, -2.955904823365957, 22.56194875424052], 'normal': [-0.5525093807939139, -0.2156104583502354, -0.8051369538064485], 'radius': 1.4919904400044897}",2.9839808800089793,"{'center': [41.6275528373903, 56.34449079247961], 'axes': [33.68754970770321, 44.45146068515602], 'angle': 23.70570250877151}","[41.6275528373903, 56.34449079247961]",1.0,1.7881132760471627,-2.17222098451021
774706.05694,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21667157234363502, 0.7062711526557275]",44.291333629015,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.443520802092627, -2.9352444409517533, 22.54289438725266], 'normal': [-0.550603432526374, -0.21362241212550184, -0.8069704611247285], 'radius': 1.486988215416789}",2.973976430833578,"{'center': [41.600941889977925, 56.39593869010033], 'axes': [33.64136585115404, 44.291333629015], 'angle': 23.616953758276253}","[41.600941889977925, 56.39593869010033]",1.0,1.7860777995934338,-2.1695503911087126
774706.073412,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21677739945105737, 0.7062736200400985]",44.387380734654194,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.4275755811928645, -2.937164047828176, 22.53254474097945], 'normal': [-0.549069102929913, -0.21380712638330873, -0.8079663563017043], 'radius': 1.4903837992921645}",2.980767598584329,"{'center': [41.621260694603016, 56.395464952301076], 'axes': [33.75419197630077, 44.387380734654194], 'angle': 23.67971531703249}","[41.621260694603016, 56.395464952301076]",1.0,1.7862668824011387,-2.1676783861223146
774706.090355,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21676459124294023, 0.7068929896243958]",44.48272852968884,1.0,"{'center': [1.2785179176523842, -0.7152152123310309, 30.92917742050455], 'radius': 10.392304845413264}","{'center': [107.57063806427774, 89.39830946751394], 'axes': [229.39605495521636, 229.39605495521636], 'angle': 0.0}","{'center': [-4.426382840002534, -2.933721852483088, 22.530824270457238], 'normal': [-0.5489543313553611, -0.21347590098179373, -0.8081319086548928], 'radius': 1.4937409956057937}",2.9874819912115873,"{'center': [41.618801518644524, 56.276545992116], 'axes': [33.82872860768406, 44.48272852968884], 'angle': 23.678408621776725}","[41.618801518644524, 56.276545992116]",1.0,1.7859278289753313,-2.1674859725900166
